seqname	start	end	gene_symbol
chr1	11869	14409	DDX11L1
chr1	14404	29570	WASH7P
chr1	29554	31109	MIR1302-2HG
chr1	34554	36081	FAM138A
chr1	52473	53312	OR4G4P
chr1	57598	64116	OR4G11P
chr1	65419	71585	OR4F5
chr1	89295	133723	AL627309.1
chr1	89551	91105	AL627309.3
chr1	131025	134836	CICP27
chr1	134901	139379	AL627309.1
chr1	135141	135895	AL627309.6
chr1	137682	137965	AL627309.7
chr1	139790	140339	AL627309.2
chr1	141474	173862	AL627309.5
chr1	157784	157887	RNU6-1100P
chr1	160446	161525	AL627309.4
chr1	227615	267253	AP006222.2
chr1	326096	328112	RP4-669L17.8
chr1	329431	332236	CICP7
chr1	334126	334305	RP4-669L17.4
chr1	367640	368634	OR4F29
chr1	379105	379467	WBP1LP7
chr1	450820	450910	AL732372.1
chr1	453633	460480	RP4-669L17.2
chr1	459656	461954	RP5-857K21.15
chr1	470971	471355	RP4-669L17.1
chr1	521451	763176	AL669831.3
chr1	523009	530148	AC114498.1
chr1	564442	564813	MTND1P23
chr1	565020	566063	MTND2P28
chr1	566454	567996	MTCO1P12
chr1	568137	568818	MTCO2P12
chr1	568915	569121	MTATP8P1
chr1	569076	569756	MTATP6P1
chr1	569756	570302	MTCO3P12
chr1	610222	610645	WBP1LP6
chr1	621059	622053	OR4F16
chr1	657472	660283	CICP3
chr1	661265	714006	AL669831.1
chr1	677193	685396	RP11-206L10.3
chr1	693613	693716	RNU6-1199P
chr1	696291	697369	AL669831.2
chr1	714127	745445	AL669831.5
chr1	717317	717430	AL669831.7
chr1	736259	753092	AL669831.4
chr1	752751	755217	FAM87B
chr1	760518	803582	LINC01128
chr1	761586	762902	LINC00115
chr1	803451	812283	FAM41C
chr1	808672	809729	TUBB8P11
chr1	809909	812614	AL669831.6
chr1	840214	851356	AL645608.6
chr1	846815	850328	AL645608.2
chr1	849551	850351	AL645608.4
chr1	852245	856396	LINC02593
chr1	859308	879961	SAMD11
chr1	879583	894689	NOC2L
chr1	895964	901099	KLHL17
chr1	901877	911245	PLEKHN1
chr1	910584	917473	PERM1
chr1	931346	933431	AL645608.7
chr1	934342	935552	HES4
chr1	936518	949920	ISG15
chr1	943456	943609	AL645608.3
chr1	947377	948573	AL645608.1
chr1	955500	991498	AGRN
chr1	990413	991496	AL645608.5
chr1	995088	1004735	AL390719.1
chr1	997588	998668	AL645608.8
chr1	1006347	1009686	RNF223
chr1	1017198	1051741	C1orf159
chr1	1032965	1039978	AL390719.3
chr1	1072397	1079436	LINC01342
chr1	1102484	1102578	MIR200B
chr1	1103243	1103332	MIR200A
chr1	1104385	1104467	MIR429
chr1	1104737	1105723	AL390719.2
chr1	1108436	1114935	TTLL10-AS1
chr1	1109264	1133315	TTLL10
chr1	1138888	1141972	TNFRSF18
chr1	1146720	1149533	TNFRSF4
chr1	1152288	1167447	SDF4
chr1	1167617	1170421	B3GALT6
chr1	1177826	1182102	C1QTNF12
chr1	1185157	1186714	AL162741.1
chr1	1189289	1209265	UBE2J2
chr1	1210603	1215800	LINC01786
chr1	1215816	1227409	SCNN1D
chr1	1227770	1244989	ACAP3
chr1	1243977	1247057	PUSL1
chr1	1246965	1260071	INTS11
chr1	1252961	1254069	AL139287.1
chr1	1260136	1264276	CPTP
chr1	1266660	1270694	TAS1R3
chr1	1270656	1284798	DVL1
chr1	1288069	1297157	MXRA8
chr1	1309110	1310875	AURKAIP1
chr1	1314046	1314412	NDUFB4P8
chr1	1321091	1334715	CCNL2
chr1	1334900	1337426	MRPL20-AS1
chr1	1337289	1342673	MRPL20
chr1	1340841	1341132	RN7SL657P
chr1	1344476	1345998	AL391244.2
chr1	1353800	1357149	ANKRD65
chr1	1355625	1358071	AL391244.1
chr1	1361508	1363167	TMEM88B
chr1	1365919	1369953	LINC01770
chr1	1370241	1378262	VWA1
chr1	1385069	1405538	ATAD3C
chr1	1407149	1433228	ATAD3B
chr1	1447531	1470067	ATAD3A
chr1	1470158	1476004	TMEM240
chr1	1477053	1510243	SSU72
chr1	1497726	1499904	AL645728.2
chr1	1509482	1512455	AL645728.1
chr1	1518890	1519289	AL691432.3
chr1	1533392	1535515	FNDC10
chr1	1535694	1538083	AL691432.4
chr1	1549138	1551175	AL691432.2
chr1	1550795	1565990	MIB2
chr1	1567474	1570639	MMP23B
chr1	1570603	1590473	CDK11B
chr1	1590786	1594063	FO704657.1
chr1	1590990	1624167	SLC35E2B
chr1	1603429	1605836	AL691432.1
chr1	1631381	1633221	MMP23A
chr1	1633818	1655796	CDK11A
chr1	1634175	1669127	AL031282.2
chr1	1655951	1668690	AL031282.1
chr1	1656277	1677438	SLC35E2A
chr1	1682671	1711896	NADK
chr1	1716724	1822556	GNB1
chr1	1822910	1824097	AL109917.1
chr1	1846547	1848735	CALML6
chr1	1849029	1850718	TMEM52
chr1	1853390	1935276	CFAP74
chr1	1944652	1947078	AL391845.2
chr1	1950768	1962197	GABRD
chr1	1980642	1981509	AL391845.1
chr1	1981850	2116834	PRKCZ
chr1	2072523	2076718	AL590822.2
chr1	2113233	2115828	PRKCZ-AS1
chr1	2115900	2144159	FAAP20
chr1	2143962	2152177	AL590822.1
chr1	2159758	2241652	SKI
chr1	2246479	2254524	AL590822.3
chr1	2252692	2323146	MORN1
chr1	2257640	2258132	AL589739.1
chr1	2281853	2284259	AL513477.1
chr1	2294500	2295067	AL513477.2
chr1	2323214	2336881	RER1
chr1	2335403	2345236	PEX10
chr1	2357419	2436971	PLCH2
chr1	2423739	2424697	AL139246.1
chr1	2424876	2425918	AL139246.4
chr1	2439970	2458067	PANK4
chr1	2460184	2461702	HES5
chr1	2461503	2478899	AL139246.5
chr1	2481359	2488470	TNFRSF14-AS1
chr1	2487078	2496821	TNFRSF14
chr1	2497849	2501327	AL139246.2
chr1	2512999	2515972	AL139246.3
chr1	2517930	2522908	PRXL2B
chr1	2522078	2564455	MMEL1
chr1	2564007	2568059	AL831784.1
chr1	2567415	2718282	TTC34
chr1	2684638	2701278	AC242022.2
chr1	2690149	2693019	AC242022.1
chr1	2728415	2729257	AL592464.2
chr1	2730621	2734332	AL592464.3
chr1	2730997	2731563	AL592464.1
chr1	2877223	2885272	AL589702.1
chr1	2938047	2939467	ACTRT2
chr1	2976179	2985001	PRDM16-DT
chr1	2985732	3355185	PRDM16
chr1	3049491	3050273	AL008733.1
chr1	3122552	3125228	AL512383.1
chr1	3223200	3226660	AL590438.1
chr1	3229616	3239713	AL354743.2
chr1	3284379	3290492	AL354743.1
chr1	3371229	3397677	ARHGEF16
chr1	3403810	3404191	AL512413.1
chr1	3404515	3528072	MEGF6
chr1	3477259	3477354	MIR551A
chr1	3539754	3541307	AL513320.1
chr1	3541579	3546691	TPRG1L
chr1	3547331	3569325	WRAP73
chr1	3569080	3652765	TP73
chr1	3575502	3585336	AL136528.1
chr1	3628764	3630862	AL136528.2
chr1	3652075	3663937	TP73-AS1
chr1	3663024	3688209	CCDC27
chr1	3689325	3692546	SMIM1
chr1	3695123	3713062	LRRC47
chr1	3699379	3699673	RN7SL574P
chr1	3701572	3702102	AL365330.1
chr1	3728650	3773778	CEP104
chr1	3773831	3801993	DFFB
chr1	3800628	3800697	AL691523.1
chr1	3805689	3816857	C1orf174
chr1	3816916	3833789	LINC01134
chr1	4000546	4015322	LINC01346
chr1	4004607	4009084	LINC01345
chr1	4036193	4072764	AL805961.1
chr1	4072981	4079568	AL805961.2
chr1	4235588	4235959	EEF1DP6
chr1	4472087	4484749	LINC01777
chr1	4539191	4544435	AL355602.1
chr1	4611795	4612205	Z98747.1
chr1	4631541	4654076	LINC01646
chr1	4714792	4852594	AJAP1
chr1	4790271	4795052	Z98886.1
chr1	5024014	5033358	BX005132.2
chr1	5033441	5041628	BX005132.1
chr1	5146519	5150959	AL691497.1
chr1	5361988	5367454	AL139823.1
chr1	5538796	5553117	Z98259.3
chr1	5540847	5542088	Z98259.2
chr1	5553038	5554734	Z98259.1
chr1	5614807	5614941	Z97988.2
chr1	5621769	5728355	AL365255.1
chr1	5624131	5624203	MIR4417
chr1	5875931	5876019	AL356693.1
chr1	5922732	5922801	MIR4689
chr1	5922871	6052533	NPHP4
chr1	5953899	5953984	AL356261.1
chr1	6050987	6161253	KCNAB2
chr1	6161847	6240381	CHD5
chr1	6219490	6257817	AL031847.2
chr1	6245080	6269449	RPL22
chr1	6264900	6265840	AL031847.1
chr1	6265535	6281359	RNF207
chr1	6281253	6296032	ICMT
chr1	6294752	6299504	LINC00337
chr1	6304252	6305638	HES3
chr1	6307413	6321158	GPR153
chr1	6324329	6454451	ACOT7
chr1	6453615	6454451	AL031848.2
chr1	6472478	6484730	HES2
chr1	6484836	6521427	ESPN
chr1	6489894	6489956	MIR4252
chr1	6503094	6507066	AL031848.1
chr1	6520846	6526255	TNFRSF25
chr1	6526152	6580121	PLEKHG5
chr1	6581407	6614573	NOL9
chr1	6600914	6601024	RNU6-731P
chr1	6607965	6608679	AL591866.1
chr1	6615367	6639815	TAS1R1
chr1	6640054	6649340	ZBTB48
chr1	6650784	6674667	KLHL21
chr1	6673791	6684090	PHF13
chr1	6684926	6695646	THAP3
chr1	6694228	6761984	DNAJC11
chr1	6784697	6790072	LINC01672
chr1	6812779	6812881	snoU13
chr1	6828014	6830098	AL591163.1
chr1	6843952	6844903	CAMTA1-DT
chr1	6845514	7829766	CAMTA1
chr1	6894393	6894678	AL590128.1
chr1	7068436	7074339	AL512330.1
chr1	7279420	7279584	RNU1-8P
chr1	7429003	7430331	CAMTA1-IT1
chr1	7442548	7449814	Z97987.1
chr1	7501156	7501614	AL365194.1
chr1	7753184	7754904	AL359881.3
chr1	7758363	7758932	AL359881.2
chr1	7760764	7761030	AL359881.1
chr1	7831356	7841492	VAMP3
chr1	7836443	7836835	Z98884.2
chr1	7844380	7905237	PER3
chr1	7870302	7887402	Z98884.1
chr1	7903143	7913572	UTS2
chr1	7975954	8003225	TNFRSF9
chr1	8002432	8002786	AL009183.1
chr1	8014351	8045565	PARK7
chr1	8042941	8043043	Y_RNA
chr1	8051194	8065372	AL034417.4
chr1	8058247	8059994	AL034417.3
chr1	8064464	8086369	ERRFI1
chr1	8086798	8182762	AL034417.2
chr1	8117305	8118523	AL034417.1
chr1	8249884	8252830	AL358876.1
chr1	8261578	8275270	LINC01714
chr1	8266494	8266657	RNU1-7P
chr1	8278250	8280589	AL358876.2
chr1	8335184	8335438	RN7SL729P
chr1	8352217	8352323	RNU6-991P
chr1	8377886	8404227	SLC45A1
chr1	8388127	8388239	Y_RNA
chr1	8412457	8908980	RERE
chr1	8484705	8495073	RERE-AS1
chr1	8571854	8571978	SNORA77
chr1	8572712	8573080	AL096855.1
chr1	8810489	8811146	RPL7P11
chr1	8846270	8846972	RPL7P7
chr1	8856633	8856731	Y_RNA
chr1	8858534	8859565	AL357552.1
chr1	8865919	8867110	AL357552.2
chr1	8891066	8891434	RPL23AP19
chr1	8921059	8939249	ENO1
chr1	8938894	8939953	ENO1-AS1
chr1	8943486	8943592	RNU6-304P
chr1	8953468	8954210	HMGN2P17
chr1	8967452	8967803	AL139415.1
chr1	8969801	8969963	AL139415.2
chr1	9005926	9035151	CA6
chr1	9039637	9039933	RN7SL451P
chr1	9063359	9086404	SLC2A7
chr1	9095166	9148537	SLC2A5
chr1	9142755	9142938	SCARNA16
chr1	9160364	9189161	GPR157
chr1	9208070	9258965	MIR34AHG
chr1	9211727	9211836	MIR34A
chr1	9242063	9256343	LNCTAM34A
chr1	9294834	9331396	H6PD
chr1	9338450	9338592	Z98044.1
